100 397
44 22 7
87 91 4
40 9 10
4 39 10
96 12 9
39 19 8
26 82 10
11 74 9
1 33 7
80 37 4
32 2 8
63 3 8
13 54 4
4 69 10
4 61 6
24 42 3
77 66 5
85 99 10
26 47 2
72 54 5
88 6 9
12 40 2
47 71 3
7 57 1
78 1 3
54 34 5
76 96 9
37 11 8
92 88 6
40 69 6
12 13 7
100 89 2
39 7 6
82 25 4
17 32 6
76 81 7
54 45 10
8 68 1
98 43 5
78 62 5
67 55 10
11 32 2
74 76 7
87 8 1
20 21 2
93 31 10
83 82 8
89 1 7
14 74 9
75 99 2
72 25 7
13 61 1
93 91 5
15 36 5
94 32 7
54 15 9
46 15 1
66 85 1
1 98 5
30 29 6
13 64 2
95 42 7
94 74 9
27 87 10
14 6 4
32 73 3
99 52 7
10 50 7
95 91 2
43 11 10
81 39 7
38 21 2
1 28 2
89 42 7
79 37 9
84 50 1
53 65 10
82 36 4
23 15 2
14 59 1
64 69 8
71 86 9
15 61 6
44 62 4
41 37 2
15 42 1
45 12 8
57 37 10
78 72 2
34 58 6
70 41 10
84 31 10
17 99 3
4 86 6
74 6 8
9 71 7
33 47 1
59 72 2
96 90 10
58 1 6
77 56 1
90 7 8
72 55 10
5 67 1
69 92 8
5 3 7
63 84 2
75 34 1
66 5 7
18 2 9
63 1 4
26 38 8
58 78 1
49 62 2
74 6 3
1 4 3
39 44 2
65 88 7
86 1 1
71 35 6
19 66 7
15 88 4
75 60 4
65 38 6
14 50 9
68 59 2
76 37 6
32 87 7
78 99 1
76 90 8
3 73 6
55 47 2
13 79 3
65 87 1
98 22 10
78 52 10
55 40 8
3 65 7
12 75 9
63 99 3
88 92 9
39 85 7
73 94 8
83 38 3
81 7 4
99 69 8
52 62 8
22 40 9
64 68 6
55 78 3
16 76 9
15 53 1
23 37 1
81 45 8
53 76 5
95 82 5
6 39 4
70 6 1
7 40 2
50 72 1
86 42 10
80 11 10
4 9 9
53 92 3
12 79 6
55 47 1
34 21 4
68 74 3
85 81 1
92 2 10
77 40 10
48 33 3
91 99 4
74 61 9
78 14 9
40 67 9
1 49 4
68 84 7
20 56 4
33 91 1
34 40 4
75 97 1
35 16 8
16 99 1
37 5 10
44 98 5
80 99 10
12 52 2
14 18 10
17 3 1
10 96 6
69 23 1
37 61 8
52 80 5
44 91 10
47 76 9
39 12 7
43 1 10
84 67 1
2 19 1
53 60 10
42 73 4
80 45 7
7 5 3
87 100 7
56 81 5
46 93 1
55 100 3
90 54 9
18 54 3
15 78 6
54 65 5
88 79 10
75 51 1
32 78 1
23 70 6
34 28 2
71 15 8
1 15 1
61 21 3
62 17 10
74 54 5
86 79 7
7 65 3
66 37 9
81 25 10
36 15 7
33 22 4
69 76 2
85 15 4
10 24 3
84 39 9
33 79 3
98 62 8
85 57 6
43 54 2
12 25 6
90 11 10
41 91 5
30 22 10
31 10 4
97 56 1
2 99 1
52 68 7
38 71 2
56 77 6
99 59 4
9 84 9
22 83 8
58 75 9
21 68 10
67 93 3
1 29 2
28 9 2
94 70 5
46 95 5
79 60 9
90 31 1
67 89 5
48 84 5
14 51 5
69 75 9
10 65 4
37 75 8
58 11 2
93 1 2
84 8 2
35 34 1
95 96 3
78 28 4
16 44 9
19 51 8
37 79 1
35 38 7
34 73 3
91 63 6
54 3 10
84 46 6
95 100 5
4 7 4
49 67 4
41 90 7
74 21 9
39 40 4
56 38 9
82 36 2
9 46 8
1 5 3
68 18 9
38 52 1
89 53 1
44 43 7
31 28 6
70 79 8
7 53 4
16 66 8
82 78 3
23 57 10
93 99 10
55 52 8
90 6 5
3 16 9
29 41 1
44 43 2
46 7 7
93 86 3
94 99 3
27 34 5
37 25 6
30 77 10
86 16 6
49 39 8
43 91 8
43 49 2
68 14 2
76 11 10
66 81 9
41 13 5
75 44 3
57 33 10
58 35 6
87 78 10
100 80 6
2 74 9
47 50 10
10 75 5
30 47 9
13 52 1
63 88 10
52 28 8
89 7 10
67 27 10
37 74 5
37 24 4
16 43 1
21 25 6
46 21 8
61 75 1
19 5 7
19 58 10
33 19 2
6 12 3
69 100 9
62 21 7
50 42 8
44 58 3
97 12 8
83 99 6
100 31 1
5 40 7
94 64 4
61 98 7
47 68 4
9 44 5
35 89 4
92 96 7
59 70 5
36 99 4
98 94 5
67 57 5
22 97 1
99 95 3
7 18 4
25 40 6
22 92 8
19 35 2
95 2 1
73 2 7
30 42 5
41 28 2
96 77 8
92 35 10
15 6 2
78 10 5
86 69 6
93 82 8
22 50 6
61 29 1
87 24 1
34 82 3
72 42 4
90 1 5
71 46 7
25 85 8
10 40 10
75 97 3
33 52 2
45 97 10
4 12 7
34 71 2
54 43 6
42 62 10
10 21 5
95 51 9
17 48 10
91 4 10
66 44 1
